Year,Town Code,Town,2010 Census Units,Government Assisted,Tenant Rental Assistance,Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable,Population_2025,Population_2040,Projected_Population_Change_Pct
2011,62,Hamden,25114,684.0,514,448,4,1650,6.57,64551,70408,9.073445802543725
2011,63,Hampton,793,0.0,0,16,0,16,2.02,1769,1485,-16.054267947993218
2011,64,Hartford,51822,9415.0,7577,1440,0,18432,35.57,128137,126849,-1.005174149543067
2011,65,Hartland,856,2.0,0,4,0,6,0.7,1961,1581,-19.37786843447221
2011,66,Harwinton,2282,23.0,1,21,0,45,1.97,5433,4799,-11.669427572243695
2011,67,Hebron,3567,59.0,3,30,0,92,2.58,8793,7889,-10.280905265552144
2011,68,Kent,1665,48.0,1,4,24,77,4.62,2725,2267,-16.807339449541285
2011,69,Killingly,7592,530.0,124,251,0,905,11.92,18183,17948,-1.2924159929604575
2011,70,Killingworth,2598,0.0,1,5,5,11,0.42,5991,4955,-17.29260557502921
2011,71,Lebanon,3125,26.0,5,47,0,78,2.5,7006,6317,-9.834427633457036
2011,72,Ledyard,5987,32.0,7,158,0,197,3.29,14466,13315,-7.95658786119176
2011,73,Lisbon,1730,2.0,0,35,0,37,2.14,4165,3730,-10.444177671068427
2011,74,Litchfield,3975,140.0,2,11,29,182,4.58,8058,7238,-10.176222387689252
2011,75,Lyme,1223,0.0,0,2,7,9,0.74,2639,2742,3.902993558165972
2011,76,Madison,8049,90.0,1,7,29,127,1.58,16583,16261,-1.9417475728155338
2011,77,Manchester,25996,1813.0,1011,883,36,3743,14.4,65736,73036,11.105026165267128
2011,78,Mansfield,6017,417.0,159,76,2,654,10.87,27362,29416,7.506761201666546
2011,79,Marlborough,2389,24.0,0,16,0,40,1.67,6056,5217,-13.854029062087186
2011,80,Meriden,25892,1769.0,970,1022,11,3772,14.57,64100,66146,3.19188767550702
2011,81,Middlebury,2892,76.0,3,8,8,95,3.28,8410,8828,4.970273483947682
2011,82,Middlefield,1863,30.0,0,10,1,41,2.2,4396,4333,-1.4331210191082804
2011,83,Middletown,21223,2814.0,1295,590,25,4724,22.26,51751,57666,11.42973082645746
2011,84,Milford,23074,822.0,285,212,85,1404,6.08,50196,46897,-6.57223683162005
2011,85,Monroe,6918,35.0,1,18,1,55,0.8,15426,11961,-22.462077012835472
2011,86,Montville,7407,81.0,30,177,0,288,3.89,19410,18356,-5.430190623390005
2011,87,Morris,1314,20.0,2,0,0,22,1.67,2328,2202,-5.412371134020619
2011,88,Naugatuck,13061,492.0,273,301,0,1066,8.16,32535,31854,-2.093130474873213
2011,89,New Britain,31226,3183.0,1457,1153,396,6189,19.82,77176,80989,4.94065512594589
2011,90,New Canaan,7551,140.0,10,2,31,183,2.42,17687,18563,4.952790184881552
2011,91,New Fairfield,5593,0.0,0,22,13,35,0.63,10460,7324,-29.980879541108983
2011,92,New Hartford,2923,12.0,0,36,15,63,2.16,7291,7047,-3.3465916883829374
2011,93,New Haven,54967,8210.0,6116,1127,487,15940,29.0,138958,143914,3.5665452870651566
2011,95,New London,11840,1672.0,155,457,69,2353,19.87,29972,31875,6.349259308688109
2011,96,New Milford,11731,233.0,221,107,16,577,4.92,25813,22723,-11.97071243172045
2011,94,Newington,13011,426.0,84,366,36,912,7.01,31806,34158,7.394831163931334
2011,97,Newtown,10061,134.0,4,20,15,173,1.72,27122,28220,4.048374013715803
2011,98,Norfolk,967,28.0,0,3,0,31,3.21,1570,1348,-14.140127388535031
2011,99,North Branford,5629,62.0,8,52,0,122,2.17,13296,11855,-10.837845968712395
2011,100,North Canaan,1587,101.0,0,7,0,108,6.81,3072,2794,-9.049479166666668
2011,101,North Haven,9491,343.0,29,74,1,447,4.71,23582,23245,-1.429056059706556
2011,102,North Stonington,2306,0.0,1,17,0,18,0.78,5054,4250,-15.908191531460231
2011,103,Norwalk,35415,2248.0,982,238,559,4027,11.37,87129,90247,3.5786018432439253
2011,104,Norwich,18659,1906.0,707,517,0,3130,16.77,47717,54765,14.770417251713225
2011,105,Old Lyme,5021,60.0,1,5,3,69,1.37,6875,6040,-12.145454545454545
2011,106,Old Saybrook,5602,50.0,5,15,1,71,1.27,8644,6987,-19.169366034243406
2011,107,Orange,5345,46.0,4,9,0,59,1.1,13617,14075,3.3634427553793054
2011,108,Oxford,4746,36.0,1,8,0,45,0.95,15698,17856,13.746974136832717
2011,109,Plainfield,6229,378.0,225,261,0,864,13.87,15343,14645,-4.549305872384801
2011,110,Plainville,8063,223.0,24,302,53,602,7.47,17776,17652,-0.6975697569756976
2011,111,Plymouth,5109,179.0,5,142,0,326,6.38,12155,11384,-6.3430686960098726
2011,112,Pomfret,1684,32.0,2,11,0,45,2.67,4656,4906,5.369415807560137
2011,113,Portland,4077,185.0,91,48,0,324,7.95,9847,10145,3.026302427135168
2011,114,Preston,2019,40.0,3,34,0,77,3.81,4408,3898,-11.569872958257713
2011,115,Prospect,3474,0.0,4,22,0,26,0.75,8978,8216,-8.48741367787926
2011,116,Putnam,4299,383.0,64,101,0,548,12.75,10573,11038,4.397994892651092
2011,117,Redding,3811,0.0,0,0,0,0,0.0,9073,9007,-0.7274330430948969
2011,118,Ridgefield,9420,179.0,0,8,20,207,2.2,22046,22187,0.6395718044089631
2011,119,Rocky Hill,8843,236.0,23,173,0,432,4.89,22204,24926,12.25905242298685
2011,120,Roxbury,1167,19.0,0,1,0,20,1.71,2218,2039,-8.070333633904418
2011,121,Salem,1635,1.0,0,25,0,26,1.59,3984,3454,-13.303212851405622
2011,122,Salisbury,2593,16.0,0,4,10,30,1.16,3171,2405,-24.156417533900978
2011,123,Scotland,680,0.0,0,9,0,9,1.32,1777,1642,-7.597073719752391
2011,124,Seymour,6968,262.0,25,83,0,370,5.31,16881,16753,-0.7582489189029086
2011,125,Sharon,1775,20.0,1,4,0,25,1.41,2182,1520,-30.339138405132903
2011,126,Shelton,16146,254.0,16,83,82,435,2.69,37508,34543,-7.904980270875546
2011,127,Sherman,1831,0.0,1,1,0,2,0.11,2670,1803,-32.47191011235955
2011,128,Simsbury,9123,241.0,12,58,0,311,3.41,21874,23574,7.771783852976136
2011,129,Somers,3479,54.0,7,16,0,77,2.21,11654,11330,-2.7801613180024027
2011,132,South Windsor,10243,427.0,53,235,0,715,6.98,24362,23389,-3.9939249651095974
2011,130,Southbury,9091,89.0,2,12,0,103,1.13,19163,18758,-2.1134477900120023
2011,131,Southington,17447,609.0,41,281,51,982,5.63,43643,42639,-2.3004834681392206
2011,133,Sprague,1248,20.0,9,30,0,59,4.73,3008,2928,-2.6595744680851063
2011,134,Stafford,5124,178.0,12,140,0,330,6.44,12088,11496,-4.8974189278623435
2011,135,Stamford,50573,4618.0,1645,309,1221,7793,15.41,128061,128825,0.5965906872506072
2011,136,Sterling,1511,0.0,3,21,9,33,2.18,4678,5197,11.09448482257375
2011,137,Stonington,9467,296.0,16,49,0,361,3.81,17255,15224,-11.770501303969864
2011,138,Stratford,21091,524.0,365,259,33,1181,5.6,52748,55394,5.0163039356942445
2011,139,Suffield,5469,212.0,0,41,15,268,4.9,16838,17458,3.682147523458843
2011,140,Thomaston,3276,105.0,3,83,0,191,5.83,7783,7370,-5.306437106514197
2011,141,Thompson,4171,150.0,12,54,0,216,5.18,9610,9390,-2.2892819979188346
2011,142,Tolland,5451,97.0,2,69,3,171,3.14,14283,12295,-13.918644542463069
2011,143,Torrington,16761,1082.0,301,611,17,2011,12.0,37268,37315,0.12611355586562198
2011,144,Trumbull,13157,315.0,13,35,274,637,4.84,34411,33154,-3.6529016884135888
2011,145,Union,388,0.0,0,6,0,6,1.55,930,944,1.5053763440860215
2011,146,Vernon,13896,1386.0,519,352,12,2269,16.33,30683,31375,2.2553205358015838
2011,147,Voluntown,1127,20.0,2,21,0,43,3.82,2397,1875,-21.777221526908637
2011,148,Wallingford,18945,482.0,141,299,35,957,5.05,44968,44313,-1.4565913538516277
2011,149,Warren,811,0.0,0,2,0,2,0.25,1591,1520,-4.462602137020742
2011,150,Washington,2124,14.0,0,0,23,37,1.74,3161,2462,-22.113255298956027
2011,151,Waterbury,47991,4870.0,3110,2256,333,10569,22.02,114895,119211,3.7564733017102574
2011,152,Waterford,8634,123.0,13,192,0,328,3.8,18317,15996,-12.671288966533822
2011,153,Watertown,9096,206.0,19,134,0,359,3.95,21640,19871,-8.174676524953789
2011,155,West Hartford,26396,541.0,942,304,282,2069,7.84,66411,72685,9.447230127539113
2011,156,West Haven,22446,1024.0,1380,415,0,2819,12.56,61459,73508,19.604939878618268
2011,154,Westbrook,3937,140.0,7,13,24,184,4.67,7080,6911,-2.3870056497175143
2011,157,Weston,3674,0.0,1,0,0,1,0.03,8121,7007,-13.717522472601896
2011,158,Westport,10399,245.0,20,2,15,282,2.71,22822,21688,-4.9688896678643415
2011,159,Wethersfield,11677,625.0,127,216,0,968,8.29,27165,29129,7.229891404380637
2011,160,Willington,2637,160.0,4,32,0,196,7.43,6535,5937,-9.150726855394034
2011,161,Wilton,6475,84.0,4,7,70,165,2.55,15342,14642,-4.562638508669013
2011,162,Winchester,5613,316.0,248,116,0,680,12.11,11374,10938,-3.833304026727624
2011,163,Windham,9570,1692.0,560,427,0,2679,27.99,29884,38255,28.01164502743943
2011,164,Windsor,11767,154.0,245,379,0,778,6.61,28346,27498,-2.9916037536160305
2011,165,Windsor Locks,5429,137.0,149,182,0,468,8.62,12667,12633,-0.2684139891055498
2011,166,Wolcott,6276,312.0,4,121,0,437,6.96,16885,16510,-2.220906129700918
2011,167,Woodbridge,3478,30.0,5,6,0,41,1.18,7846,6599,-15.89344889115473
2011,168,Woodbury,4564,60.0,4,19,0,83,1.82,9704,9052,-6.718878812860677
2011,169,Woodstock,3582,24.0,3,39,0,66,1.84,8223,7860,-4.414447282013864
2021,1,Andover,1317,24.0,1,29,0,54,4.1,3013,2550,-15.3667441088616
2021,2,Ansonia,8148,366.0,799,138,0,1303,15.99,20264,21067,3.962692459534149
2021,3,Ashford,1903,32.0,0,32,0,64,3.36,4417,4159,-5.841068598596332
2021,4,Avon,7389,244.0,21,36,1,302,4.09,20495,25704,25.415955111002685
2021,5,Barkhamsted,1589,0.0,5,21,0,26,1.64,3674,3148,-14.316820903647251
2021,6,Beacon Falls,2509,0.0,4,38,0,42,1.67,6530,6587,0.8728943338437979
2021,7,Berlin,8140,556.0,50,124,4,734,9.02,20387,20297,-0.44145779173002403
2021,8,Bethany,2044,0.0,2,11,0,13,0.64,5699,5415,-4.983330408843656
2021,9,Bethel,7310,192.0,30,132,87,441,6.03,17010,15007,-11.775426219870665
2021,10,Bethlehem,1575,24.0,0,5,0,29,1.84,3596,3346,-6.952169076751947
2021,11,Bloomfield,9019,574.0,114,303,0,991,10.99,20541,20152,-1.8937734287522519
2021,12,Bolton,2015,0.0,2,29,0,31,1.54,4434,3720,-16.102841677943168
2021,13,Bozrah,1059,0.0,3,27,0,30,2.83,2896,3089,6.664364640883978
2021,14,Branford,13972,243.0,73,152,9,477,3.41,25508,22605,-11.380743296220794
2021,15,Bridgeport,57012,6949.0,4351,815,19,12134,21.28,151797,154658,1.8847539806452036
2021,16,Bridgewater,881,0.0,0,1,0,1,0.11,1349,937,-30.541141586360265
2021,17,Bristol,27011,2006.0,950,1031,0,3987,14.76,59358,57129,-3.7551804306075
2021,18,Brookfield,6562,155.0,22,97,77,351,5.35,15298,14513,-5.131389724146947
2021,19,Brooklyn,3235,232.0,10,63,0,305,9.43,9276,10033,8.160845191893056
2021,20,Burlington,3389,27.0,0,44,0,71,2.1,9493,8699,-8.364057726746022
2021,21,Canaan,779,1.0,3,4,1,9,1.16,1417,1488,5.010585744530699
2021,22,Canterbury,2043,76.0,1,61,0,138,6.75,5220,4835,-7.375478927203065
2021,23,Canton,4339,251.0,31,48,32,362,8.34,11006,11461,4.134108667999273
2021,24,Chaplin,988,0.0,2,35,0,37,3.74,2148,1782,-17.039106145251395
2021,25,Cheshire,10424,258.0,23,88,17,386,3.7,27088,24860,-8.225044300059068
2021,26,Chester,1923,23.0,4,15,0,42,2.18,3764,3313,-11.98193411264612
2021,27,Clinton,6065,105.0,8,60,0,173,2.85,11632,9484,-18.46629986244842
2021,28,Colchester,6182,364.0,37,132,4,537,8.69,16180,15925,-1.57601977750309
2021,29,Colebrook,722,0.0,1,6,1,8,1.11,1320,1100,-16.666666666666664
2021,30,Columbia,2308,24.0,2,57,0,83,3.6,5458,5053,-7.420300476364969
2021,31,Cornwall,1007,28.0,2,6,0,36,3.57,1177,901,-23.44944774851317
2021,32,Coventry,5099,103.0,4,120,20,247,4.84,11958,10605,-11.314601103863522
2021,33,Cromwell,6001,212.0,9,173,0,394,6.57,15019,16160,7.597043744590186
2021,34,Danbury,31154,1652.0,1258,465,221,3596,11.54,87307,94602,8.355572863573366
2021,35,Darien,7074,161.0,14,2,104,281,3.97,19374,22250,14.844637142562197
2021,36,Deep River,2096,26.0,6,32,0,64,3.05,4031,3201,-20.590424212354254
2021,37,Derby,5849,275.0,314,102,0,691,11.81,13554,14082,3.8955289951305887
2021,38,Durham,2694,36.0,1,26,0,63,2.34,7361,6791,-7.743513109631843
2021,40,East Granby,2152,72.0,2,42,0,116,5.39,5343,5306,-0.6924948530787947
2021,41,East Haddam,4508,73.0,2,59,0,134,2.97,9022,8165,-9.499002438483707
2021,42,East Hampton,5485,64.0,7,83,25,179,3.26,13434,11543,-14.076224504987344
2021,43,East Hartford,21328,1593.0,809,964,0,3366,15.78,54773,58550,6.895733299253282
2021,44,East Haven,12533,542.0,167,274,0,983,7.84,29517,28958,-1.8938238980926245
2021,45,East Lyme,8458,396.0,19,86,19,520,6.15,19049,18225,-4.325686387736889
2021,47,East Windsor,5045,559.0,37,102,0,698,13.84,13591,16011,17.80590096387315
2021,39,Eastford,793,0.0,0,10,0,10,1.26,1789,1700,-4.974846282839575
2021,46,Easton,2715,0.0,0,3,15,18,0.66,6364,5388,-15.336266499057198
2021,48,Ellington,6665,260.0,5,104,0,369,5.54,19055,21951,15.198110732091314
2021,49,Enfield,17558,1360.0,221,592,7,2180,12.42,42620,40015,-6.112153918348193
2021,50,Essex,3261,75.0,2,16,16,109,3.34,5989,5082,-15.1444314576724
2021,51,Fairfield,21648,231.0,139,56,182,608,2.81,58360,67101,14.977724468814257
2021,52,Farmington,11106,470.0,115,128,155,868,7.82,25574,26150,2.252287479471338
2021,53,Franklin,771,27.0,2,19,0,48,6.23,1858,1661,-10.602798708288482
2021,54,Glastonbury,13656,604.0,49,108,2,763,5.59,34432,35939,4.376742565055762
2021,55,Goshen,1664,1.0,1,4,0,6,0.36,3116,3089,-0.8664955070603337
2021,56,Granby,4360,85.0,2,46,5,138,3.17,10471,10051,-4.011078216025212
2021,57,Greenwich,25631,879.0,458,13,38,1388,5.42,54529,47132,-13.565258853087347
2021,58,Griswold,5118,222.0,57,144,0,423,8.26,13205,13900,5.263157894736842
2021,59,Groton,17978,3727.0,103,335,10,4175,23.22,40639,38622,-4.9632126774773
2021,60,Guilford,9596,186.0,10,32,0,228,2.38,21789,21853,0.29372619211528755
2021,61,Haddam,3504,22.0,1,27,0,50,1.43,8865,8630,-2.6508742244782857
2021,62,Hamden,25114,1048.0,818,473,4,2343,9.33,64551,70408,9.073445802543725
2021,63,Hampton,793,0.0,1,11,0,12,1.51,1769,1485,-16.054267947993218
2021,64,Hartford,51822,10733.0,8723,1441,0,20897,40.32,128137,126849,-1.005174149543067
2021,65,Hartland,856,2.0,0,6,0,8,0.93,1961,1581,-19.37786843447221
2021,66,Harwinton,2282,22.0,6,34,5,67,2.94,5433,4799,-11.669427572243695
2021,67,Hebron,3567,58.0,3,44,0,105,2.94,8793,7889,-10.280905265552144
2021,68,Kent,1665,58.0,4,4,0,66,3.96,2725,2267,-16.807339449541285
2021,69,Killingly,7592,467.0,152,167,0,786,10.35,18183,17948,-1.2924159929604575
2021,70,Killingworth,2598,0.0,0,16,5,21,0.81,5991,4955,-17.29260557502921
2021,71,Lebanon,3125,26.0,3,76,0,105,3.36,7006,6317,-9.834427633457036
2021,72,Ledyard,5987,32.0,12,210,6,260,4.34,14466,13315,-7.95658786119176
2021,73,Lisbon,1730,2.0,0,58,0,60,3.47,4165,3730,-10.444177671068427
2021,74,Litchfield,3975,140.0,3,30,19,192,4.83,8058,7238,-10.176222387689252
2021,75,Lyme,1223,0.0,0,5,8,13,1.06,2639,2742,3.902993558165972
2021,76,Madison,8049,90.0,3,9,33,135,1.68,16583,16261,-1.9417475728155338
2021,77,Manchester,25996,1871.0,979,872,32,3754,14.44,65736,73036,11.105026165267128
2021,78,Mansfield,6017,175.0,128,80,2,385,6.4,27362,29416,7.506761201666546
2021,79,Marlborough,2389,24.0,0,24,0,48,2.01,6056,5217,-13.854029062087186
2021,80,Meriden,25892,1976.0,1360,956,11,4303,16.62,64100,66146,3.19188767550702
2021,81,Middlebury,2892,77.0,5,18,20,120,4.15,8410,8828,4.970273483947682
2021,82,Middlefield,1863,30.0,3,18,1,52,2.79,4396,4333,-1.4331210191082804
2021,83,Middletown,21223,3116.0,1129,486,25,4756,22.41,51751,57666,11.42973082645746
2021,84,Milford,23074,728.0,244,168,74,1214,5.26,50196,46897,-6.57223683162005
2021,85,Monroe,6918,35.0,5,44,8,92,1.33,15426,11961,-22.462077012835472
2021,86,Montville,7407,81.0,54,247,0,382,5.16,19410,18356,-5.430190623390005
2021,87,Morris,1314,20.0,3,5,0,28,2.13,2328,2202,-5.412371134020619
2021,88,Naugatuck,13061,493.0,305,344,0,1142,8.74,32535,31854,-2.093130474873213
2021,89,New Britain,31226,3017.0,1583,1109,100,5809,18.6,77176,80989,4.94065512594589
2021,90,New Canaan,7551,175.0,19,5,21,220,2.91,17687,18563,4.952790184881552
2021,91,New Fairfield,5593,0.0,2,53,17,72,1.29,10460,7324,-29.980879541108983
2021,92,New Hartford,2923,12.0,3,47,15,77,2.63,7291,7047,-3.3465916883829374
2021,93,New Haven,54967,9652.0,7142,891,457,18142,33.01,138958,143914,3.5665452870651566
2021,95,New London,11840,1600.0,490,475,101,2666,22.52,29972,31875,6.349259308688109
2021,96,New Milford,11731,319.0,41,153,20,533,4.54,25813,22723,-11.97071243172045
2021,94,Newington,13011,531.0,128,437,36,1132,8.7,31806,34158,7.394831163931334
2021,97,Newtown,10061,134.0,7,80,32,253,2.51,27122,28220,4.048374013715803
2021,98,Norfolk,967,21.0,1,5,0,27,2.79,1570,1348,-14.140127388535031
2021,99,North Branford,5629,62.0,14,45,0,121,2.15,13296,11855,-10.837845968712395
2021,100,North Canaan,1587,148.0,0,14,0,162,10.21,3072,2794,-9.049479166666668
2021,101,North Haven,9491,393.0,51,85,23,552,5.82,23582,23245,-1.429056059706556
2021,102,North Stonington,2306,0.0,1,21,6,28,1.21,5054,4250,-15.908191531460231
2021,103,Norwalk,35415,2245.0,1546,385,667,4843,13.67,87129,90247,3.5786018432439253
2021,104,Norwich,18659,2296.0,796,516,0,3608,19.34,47717,54765,14.770417251713225
2021,105,Old Lyme,5021,64.0,2,14,3,83,1.65,6875,6040,-12.145454545454545
2021,106,Old Saybrook,5602,52.0,15,21,73,161,2.87,8644,6987,-19.169366034243406
2021,107,Orange,5345,46.0,10,10,6,72,1.35,13617,14075,3.3634427553793054
2021,108,Oxford,4746,36.0,3,26,0,65,1.37,15698,17856,13.746974136832717
2021,109,Plainfield,6229,377.0,196,191,4,768,12.33,15343,14645,-4.549305872384801
2021,110,Plainville,8063,205.0,46,282,22,555,6.88,17776,17652,-0.6975697569756976
2021,111,Plymouth,5109,178.0,20,174,0,372,7.28,12155,11384,-6.3430686960098726
2021,112,Pomfret,1684,32.0,2,13,0,47,2.79,4656,4906,5.369415807560137
2021,113,Portland,4077,185.0,90,64,0,339,8.31,9847,10145,3.026302427135168
2021,114,Preston,2019,40.0,5,38,0,83,4.11,4408,3898,-11.569872958257713
2021,115,Prospect,3474,0.0,4,43,45,92,2.65,8978,8216,-8.48741367787926
2021,116,Putnam,4299,413.0,63,70,0,546,12.7,10573,11038,4.397994892651092
2021,117,Redding,3811,0.0,2,15,0,17,0.45,9073,9007,-0.7274330430948969
2021,118,Ridgefield,9420,175.0,6,26,79,286,3.04,22046,22187,0.6395718044089631
2021,119,Rocky Hill,8843,235.0,62,157,0,454,5.13,22204,24926,12.25905242298685
2021,120,Roxbury,1167,19.0,0,5,0,24,2.06,2218,2039,-8.070333633904418
2021,121,Salem,1635,0.0,4,30,0,34,2.08,3984,3454,-13.303212851405622
2021,122,Salisbury,2593,24.0,0,2,14,40,1.54,3171,2405,-24.156417533900978
2021,123,Scotland,680,0.0,1,28,0,29,4.26,1777,1642,-7.597073719752391
2021,124,Seymour,6968,262.0,29,98,0,389,5.58,16881,16753,-0.7582489189029086
2021,125,Sharon,1775,32.0,1,3,0,36,2.03,2182,1520,-30.339138405132903
2021,126,Shelton,16146,254.0,40,118,82,494,3.06,37508,34543,-7.904980270875546
2021,127,Sherman,1831,0.0,1,6,0,7,0.38,2670,1803,-32.47191011235955
2021,128,Simsbury,9123,289.0,63,86,0,438,4.8,21874,23574,7.771783852976136
2021,129,Somers,3479,146.0,7,33,0,186,5.35,11654,11330,-2.7801613180024027
2021,132,South Windsor,10243,443.0,57,186,12,698,6.81,24362,23389,-3.9939249651095974
2021,130,Southbury,9091,90.0,7,31,0,128,1.41,19163,18758,-2.1134477900120023
2021,131,Southington,17447,499.0,62,317,54,932,5.34,43643,42639,-2.3004834681392206
2021,133,Sprague,1248,20.0,12,24,1,57,4.57,3008,2928,-2.6595744680851063
2021,134,Stafford,5124,257.0,20,115,0,392,7.65,12088,11496,-4.8974189278623435
2021,135,Stamford,50573,4219.0,2073,383,1270,7945,15.71,128061,128825,0.5965906872506072
2021,136,Sterling,1511,0.0,6,21,0,27,1.79,4678,5197,11.09448482257375
2021,137,Stonington,9467,441.0,19,79,2,541,5.71,17255,15224,-11.770501303969864
2021,138,Stratford,21091,524.0,425,344,33,1326,6.29,52748,55394,5.0163039356942445
2021,139,Suffield,5469,296.0,6,48,15,365,6.67,16838,17458,3.682147523458843
2021,140,Thomaston,3276,104.0,5,97,0,206,6.29,7783,7370,-5.306437106514197
2021,141,Thompson,4171,151.0,13,42,0,206,4.94,9610,9390,-2.2892819979188346
2021,142,Tolland,5451,127.0,12,95,3,237,4.35,14283,12295,-13.918644542463069
2021,143,Torrington,16761,912.0,328,513,17,1770,10.56,37268,37315,0.12611355586562198
2021,144,Trumbull,13157,315.0,19,82,315,731,5.56,34411,33154,-3.6529016884135888
2021,145,Union,388,0.0,0,6,0,6,1.55,930,944,1.5053763440860215
2021,146,Vernon,13896,1509.0,470,348,12,2339,16.83,30683,31375,2.2553205358015838
2021,147,Voluntown,1127,20.0,1,22,0,43,3.82,2397,1875,-21.777221526908637
2021,148,Wallingford,18945,354.0,142,296,35,827,4.37,44968,44313,-1.4565913538516277
2021,149,Warren,811,0.0,0,1,0,1,0.12,1591,1520,-4.462602137020742
2021,150,Washington,2124,17.0,2,3,23,45,2.12,3161,2462,-22.113255298956027
2021,151,Waterbury,47991,5385.0,3156,1597,48,10186,21.22,114895,119211,3.7564733017102574
2021,152,Waterford,8634,213.0,33,239,0,485,5.62,18317,15996,-12.671288966533822
2021,153,Watertown,9096,205.0,33,216,0,454,4.99,21640,19871,-8.174676524953789
2021,155,West Hartford,26396,643.0,852,320,250,2065,7.82,66411,72685,9.447230127539113
2021,156,West Haven,22446,1024.0,2119,395,0,3538,15.76,61459,73508,19.604939878618268
2021,154,Westbrook,3937,140.0,5,29,29,203,5.16,7080,6911,-2.3870056497175143
2021,157,Weston,3674,0.0,2,6,0,8,0.22,8121,7007,-13.717522472601896
2021,158,Westport,10399,265.0,60,2,63,390,3.75,22822,21688,-4.9688896678643415
2021,159,Wethersfield,11677,705.0,109,258,0,1072,9.18,27165,29129,7.229891404380637
2021,160,Willington,2637,160.0,6,35,0,201,7.62,6535,5937,-9.150726855394034
2021,161,Wilton,6475,158.0,9,14,51,232,3.58,15342,14642,-4.562638508669013
2021,162,Winchester,5613,350.0,170,84,0,604,10.76,11374,10938,-3.833304026727624
2021,163,Windham,9570,1776.0,597,338,0,2711,28.33,29884,38255,28.01164502743943
2021,164,Windsor,11767,154.0,288,420,26,888,7.55,28346,27498,-2.9916037536160305
2021,165,Windsor Locks,5429,297.0,154,224,0,675,12.43,12667,12633,-0.2684139891055498
2021,166,Wolcott,6276,313.0,14,174,0,501,7.98,16885,16510,-2.220906129700918
2021,167,Woodbridge,3478,30.0,8,3,0,41,1.18,7846,6599,-15.89344889115473
2021,168,Woodbury,4564,60.0,4,27,0,91,1.99,9704,9052,-6.718878812860677
2021,169,Woodstock,3582,24.0,0,28,0,52,1.45,8223,7860,-4.414447282013864
2022,2,Ansonia,8148,230.0,816,132,0,1178,14.46,20264,21067,3.962692459534149
2022,11,Bloomfield,9019,612.0,115,277,0,1004,11.13,20541,20152,-1.8937734287522519
2022,15,Bridgeport,57012,7020.0,4321,744,15,12100,21.22,151797,154658,1.8847539806452036
2022,17,Bristol,27011,2006.0,965,963,0,3934,14.56,59358,57129,-3.7551804306075
2022,34,Danbury,31154,1652.0,1292,390,210,3544,11.38,87307,94602,8.355572863573366
2022,37,Derby,5849,275.0,316,89,0,680,11.63,13554,14082,3.8955289951305887
2022,43,East Hartford,21328,1593.0,826,919,0,3338,15.65,54773,58550,6.895733299253282
2022,47,East Windsor,5045,559.0,43,102,0,704,13.95,13591,16011,17.80590096387315
2022,49,Enfield,17558,1360.0,231,544,7,2142,12.2,42620,40015,-6.112153918348193
2022,59,Groton,17978,3727.0,100,312,10,4149,23.08,40639,38622,-4.9632126774773
2022,64,Hartford,51822,10620.0,9132,1370,0,21122,40.76,128137,126849,-1.005174149543067
2022,69,Killingly,7592,467.0,160,141,0,768,10.12,18183,17948,-1.2924159929604575
2022,77,Manchester,25996,1864.0,1011,821,32,3728,14.34,65736,73036,11.105026165267128
2022,80,Meriden,25892,2057.0,1426,905,11,4399,16.99,64100,66146,3.19188767550702
2022,83,Middletown,21223,3118.0,1167,443,25,4753,22.4,51751,57666,11.42973082645746
2022,89,New Britain,31226,3017.0,1692,1048,91,5848,18.73,77176,80989,4.94065512594589
2022,93,New Haven,54967,9621.0,7498,833,391,18343,33.37,138958,143914,3.5665452870651566
2022,95,New London,11840,1620.0,501,448,131,2700,22.8,29972,31875,6.349259308688109
2022,103,Norwalk,35415,2423.0,1619,345,698,5085,14.36,87129,90247,3.5786018432439253
2022,104,Norwich,18659,2350.0,767,499,0,3616,19.38,47717,54765,14.770417251713225
2022,109,Plainfield,6229,429.0,192,169,4,794,12.75,15343,14645,-4.549305872384801
2022,116,Putnam,4299,413.0,69,61,0,543,12.63,10573,11038,4.397994892651092
2022,135,Stamford,50573,4217.0,2033,345,1268,7863,15.55,128061,128825,0.5965906872506072
2022,143,Torrington,16761,912.0,322,482,17,1733,10.34,37268,37315,0.12611355586562198
2022,146,Vernon,13896,1509.0,464,322,12,2307,16.6,30683,31375,2.2553205358015838
2022,151,Waterbury,47991,5385.0,3205,1478,39,10107,21.06,114895,119211,3.7564733017102574
2022,156,West Haven,22446,1024.0,2112,350,0,3486,15.53,61459,73508,19.604939878618268
2022,163,Windham,9570,1776.0,586,310,0,2672,27.92,29884,38255,28.01164502743943
2022,165,Windsor Locks,5429,297.0,166,206,0,669,12.32,12667,12633,-0.2684139891055498
2022,1,Andover,1317,24.0,1,27,0,52,3.95,3013,2550,-15.3667441088616
2022,3,Ashford,1903,32.0,0,30,0,62,3.26,4417,4159,-5.841068598596332
2022,4,Avon,7389,244.0,24,29,2,299,4.05,20495,25704,25.415955111002685
2022,5,Barkhamsted,1589,0.0,5,21,0,26,1.64,3674,3148,-14.316820903647251
