Year,Town Code,Town,2010 Census Units,Government Assisted,Tenant Rental Assistance,Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable,Population_2025,Population_2040,Projected_Population_Change_Pct
2011,3,Ashford,1903,32.0,1,35,0,68,3.57,4417,4159,-5.841068598596332
2011,4,Avon,7389,240.0,5,21,0,266,3.6,20495,25704,25.415955111002685
2011,5,Barkhamsted,1589,0.0,3,11,0,14,0.88,3674,3148,-14.316820903647251
2011,6,Beacon Falls,2509,0.0,6,25,0,31,1.24,6530,6587,0.8728943338437979
2011,7,Berlin,8140,468.0,30,82,6,586,7.2,20387,20297,-0.44145779173002403
2011,8,Bethany,2044,0.0,0,1,0,1,0.05,5699,5415,-4.983330408843656
2011,9,Bethel,7310,250.0,9,57,63,379,5.18,17010,15007,-11.775426219870665
2011,10,Bethlehem,1575,24.0,0,0,0,24,1.52,3596,3346,-6.952169076751947
2011,11,Bloomfield,9019,584.0,147,295,0,1026,11.38,20541,20152,-1.8937734287522519
2011,12,Bolton,2015,0.0,3,15,0,18,0.89,4434,3720,-16.102841677943168
2011,13,Bozrah,1059,0.0,4,16,0,20,1.89,2896,3089,6.664364640883978
2011,14,Branford,13972,232.0,46,174,0,452,3.24,25508,22605,-11.380743296220794
2011,15,Bridgeport,57012,5604.0,3724,964,15,10307,18.08,151797,154658,1.8847539806452036
2011,16,Bridgewater,881,0.0,0,2,0,2,0.23,1349,937,-30.541141586360265
2011,17,Bristol,27011,1771.0,791,1014,0,3576,13.24,59358,57129,-3.7551804306075
2011,18,Brookfield,6562,35.0,6,38,52,131,2.0,15298,14513,-5.131389724146947
2011,19,Brooklyn,3235,233.0,9,63,0,305,9.43,9276,10033,8.160845191893056
2011,20,Burlington,3389,28.0,0,25,0,53,1.56,9493,8699,-8.364057726746022
2011,21,Canaan,779,25.0,0,9,1,35,4.49,1417,1488,5.010585744530699
2011,22,Canterbury,2043,76.0,1,31,0,108,5.29,5220,4835,-7.375478927203065
2011,23,Canton,4339,211.0,20,52,32,315,7.26,11006,11461,4.134108667999273
2011,24,Chaplin,988,0.0,1,23,0,24,2.43,2148,1782,-17.039106145251395
2011,25,Cheshire,10424,237.0,5,70,17,329,3.16,27088,24860,-8.225044300059068
2011,26,Chester,1923,23.0,2,9,0,34,1.77,3764,3313,-11.98193411264612
2011,27,Clinton,6065,84.0,5,42,0,131,2.16,11632,9484,-18.46629986244842
2011,28,Colchester,6182,364.0,26,84,0,474,7.67,16180,15925,-1.57601977750309
